MCD,,"DES,MCD,STK,SMART/AMEX,,,,,"
MSI,,"DES,MSI,STK,SMART/AMEX,,,,,"
PAYC,,"DES,PAYC,STK,SMART/AMEX,,,,,"
AEP,,"DES,AEP,STK,SMART/AMEX,,,,,"
BAX,,"DES,BAX,STK,SMART/AMEX,,,,,"
CHKP,,"DES,CHKP,STK,SMART/AMEX,,,,,"
HWM,,"DES,HWM,STK,SMART/AMEX,,,,,"
NBIS,,"DES,NBIS,STK,SMART/AMEX,,,,,"
ZBRA,,"DES,ZBRA,STK,SMART/AMEX,,,,,"
ZTS,,"DES,ZTS,STK,SMART/AMEX,,,,,"
ABNB,,"DES,ABNB,STK,SMART/AMEX,,,,,"
AMAT,,"DES,AMAT,STK,SMART/AMEX,,,,,"
ANET,,"DES,ANET,STK,SMART/AMEX,,,,,"
CAE,,"DES,CAE,STK,SMART/AMEX,,,,,"
COIN,,"DES,COIN,STK,SMART/AMEX,,,,,"
EXPE,,"DES,EXPE,STK,SMART/AMEX,,,,,"
FLO,,"DES,FLO,STK,SMART/AMEX,,,,,"
IR,,"DES,IR,STK,SMART/AMEX,,,,,"
MHK,,"DES,MHK,STK,SMART/AMEX,,,,,"
PCOR,,"DES,PCOR,STK,SMART/AMEX,,,,,"
PINS,,"DES,PINS,STK,SMART/AMEX,,,,,"
ROKU,,"DES,ROKU,STK,SMART/AMEX,,,,,"
WYNN,,"DES,WYNN,STK,SMART/AMEX,,,,,"
BLDR,,"DES,BLDR,STK,SMART/AMEX,,,,,"
LDOS,,"DES,LDOS,STK,SMART/AMEX,,,,,"
LH,,"DES,LH,STK,SMART/AMEX,,,,,"
MDT,,"DES,MDT,STK,SMART/AMEX,,,,,"
VMC,,"DES,VMC,STK,SMART/AMEX,,,,,"
CDNS,,"DES,CDNS,STK,SMART/AMEX,,,,,"
CE,,"DES,CE,STK,SMART/AMEX,,,,,"
CZR,,"DES,CZR,STK,SMART/AMEX,,,,,"
EQT,,"DES,EQT,STK,SMART/AMEX,,,,,"
PANW,,"DES,PANW,STK,SMART/AMEX,,,,,"
TOL,,"DES,TOL,STK,SMART/AMEX,,,,,"
ADI,,"DES,ADI,STK,SMART/AMEX,,,,,"
GPN,,"DES,GPN,STK,SMART/AMEX,,,,,"
PODD,,"DES,PODD,STK,SMART/AMEX,,,,,"
CF,,"DES,CF,STK,SMART/AMEX,,,,,"
DASH,,"DES,DASH,STK,SMART/AMEX,,,,,"
EBAY,,"DES,EBAY,STK,SMART/AMEX,,,,,"
OMC,,"DES,OMC,STK,SMART/AMEX,,,,,"
TAP,,"DES,TAP,STK,SMART/AMEX,,,,,"
DE,,"DES,DE,STK,SMART/AMEX,,,,,"
LKQ,,"DES,LKQ,STK,SMART/AMEX,,,,,"
PWR,,"DES,PWR,STK,SMART/AMEX,,,,,"
TRGP,,"DES,TRGP,STK,SMART/AMEX,,,,,"
WMT,,"DES,WMT,STK,SMART/AMEX,,,,,"
AKAM,,"DES,AKAM,STK,SMART/AMEX,,,,,"
CENX,,"DES,CENX,STK,SMART/AMEX,,,,,"
CPRT,,"DES,CPRT,STK,SMART/AMEX,,,,,"
DBX,,"DES,DBX,STK,SMART/AMEX,,,,,"
LYV,,"DES,LYV,STK,SMART/AMEX,,,,,"
D,,"DES,D,STK,SMART/AMEX,,,,,"
TARS,,"DES,TARS,STK,SMART/AMEX,,,,,"
FIS,,"DES,FIS,STK,SMART/AMEX,,,,,"
HD,,"DES,HD,STK,SMART/AMEX,,,,,"
HSIC,,"DES,HSIC,STK,SMART/AMEX,,,,,"
KDP,,"DES,KDP,STK,SMART/AMEX,,,,,"
NRG,,"DES,NRG,STK,SMART/AMEX,,,,,"
AXON,,"DES,AXON,STK,SMART/AMEX,,,,,"
CAVA,,"DES,CAVA,STK,SMART/AMEX,,,,,"
FSLR,,"DES,FSLR,STK,SMART/AMEX,,,,,"
GDDY,,"DES,GDDY,STK,SMART/AMEX,,,,,"
HPQ,,"DES,HPQ,STK,SMART/AMEX,,,,,"
LCID,,"DES,LCID,STK,SMART/AMEX,,,,,"
MOS,,"DES,MOS,STK,SMART/AMEX,,,,,"
WDAY,,"DES,WDAY,STK,SMART/AMEX,,,,,"
LOW,,"DES,LOW,STK,SMART/AMEX,,,,,"
OC,,"DES,OC,STK,SMART/AMEX,,,,,"
TJX,,"DES,TJX,STK,SMART/AMEX,,,,,"
A,,"DES,A,STK,SMART/AMEX,,,,,"
AI,,"DES,AI,STK,SMART/AMEX,,,,,"
CRM,,"DES,CRM,STK,SMART/AMEX,,,,,"
NTNX,,"DES,NTNX,STK,SMART/AMEX,,,,,"
NVDA,,"DES,NVDA,STK,SMART/AMEX,,,,,"
PSTG,,"DES,PSTG,STK,SMART/AMEX,,,,,"
SNOW,,"DES,SNOW,STK,SMART/AMEX,,,,,"
SNPS,,"DES,SNPS,STK,SMART/AMEX,,,,,"
STN,,"DES,STN,STK,SMART/AMEX,,,,,"
